timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1666687959061,174,HTTP Request,200,OK,Thread Group 1-4,text,true,,342172,284,10,10,https://en.wikipedia.org/wiki/Computer_network,51,0,0
1666687959061,51,HTTP Request-0,301,TLS Redirect,Thread Group 1-4,,true,,614,142,10,10,http://en.wikipedia.org/wiki/Computer_network,51,0,0
1666687959112,123,HTTP Request-1,200,OK,Thread Group 1-4,text,true,,341558,142,10,10,https://en.wikipedia.org/wiki/Computer_network,58,0,0
1666687958761,482,test2,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,17505,119,10,10,null,0,0,0
1666687958761,482,HTTP Request,200,OK,Thread Group 1-5,text,true,,17505,119,10,10,https://www.google.com/,464,0,0
1666687959078,181,test1,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,342172,284,10,10,null,0,2,0
1666687959079,181,HTTP Request,200,OK,Thread Group 1-1,text,true,,342172,284,10,10,https://en.wikipedia.org/wiki/Computer_network,53,0,0
1666687959079,53,HTTP Request-0,301,TLS Redirect,Thread Group 1-1,,true,,614,142,10,10,http://en.wikipedia.org/wiki/Computer_network,53,0,0
1666687959132,128,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,341558,142,10,10,https://en.wikipedia.org/wiki/Computer_network,56,0,0
1666687959090,184,test1,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,342172,284,10,10,null,0,0,0
1666687959090,184,HTTP Request,200,OK,Thread Group 1-2,text,true,,342172,284,10,10,https://en.wikipedia.org/wiki/Computer_network,57,0,0
1666687959090,57,HTTP Request-0,301,TLS Redirect,Thread Group 1-2,,true,,614,142,10,10,http://en.wikipedia.org/wiki/Computer_network,57,0,0
1666687959147,127,HTTP Request-1,200,OK,Thread Group 1-2,text,true,,341558,142,10,10,https://en.wikipedia.org/wiki/Computer_network,55,0,0
1666687959130,186,test1,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-8,,true,,342172,284,10,10,null,0,0,0
1666687959130,186,HTTP Request,200,OK,Thread Group 1-8,text,true,,342172,284,10,10,https://en.wikipedia.org/wiki/Computer_network,51,0,0
1666687959130,51,HTTP Request-0,301,TLS Redirect,Thread Group 1-8,,true,,614,142,10,10,http://en.wikipedia.org/wiki/Computer_network,51,0,0
1666687959181,135,HTTP Request-1,200,OK,Thread Group 1-8,text,true,,341558,142,10,10,https://en.wikipedia.org/wiki/Computer_network,59,0,0
1666687958772,545,test2,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-7,,true,,17415,119,10,10,null,0,0,0
1666687958772,545,HTTP Request,200,OK,Thread Group 1-7,text,true,,17415,119,10,10,https://www.google.com/,536,0,0
1666687958603,732,test2,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-6,,true,,17461,119,10,10,null,0,2,225
1666687958605,732,HTTP Request,200,OK,Thread Group 1-6,text,true,,17461,119,10,10,https://www.google.com/,718,0,225
1666687959243,162,test1,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,342172,284,10,10,null,0,1,0
1666687959244,162,HTTP Request,200,OK,Thread Group 1-5,text,true,,342172,284,10,10,https://en.wikipedia.org/wiki/Computer_network,54,0,0
1666687959244,54,HTTP Request-0,301,TLS Redirect,Thread Group 1-5,,true,,614,142,10,10,http://en.wikipedia.org/wiki/Computer_network,54,0,0
1666687959298,108,HTTP Request-1,200,OK,Thread Group 1-5,text,true,,341558,142,10,10,https://en.wikipedia.org/wiki/Computer_network,53,0,0
1666687959317,162,test1,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-7,,true,,342172,284,10,10,null,0,0,0
1666687959317,162,HTTP Request,200,OK,Thread Group 1-7,text,true,,342172,284,10,10,https://en.wikipedia.org/wiki/Computer_network,50,0,0
1666687959317,50,HTTP Request-0,301,TLS Redirect,Thread Group 1-7,,true,,614,142,10,10,http://en.wikipedia.org/wiki/Computer_network,50,0,0
1666687959367,112,HTTP Request-1,200,OK,Thread Group 1-7,text,true,,341558,142,10,10,https://en.wikipedia.org/wiki/Computer_network,54,0,0
1666687959338,177,test1,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-6,,true,,342172,284,10,10,null,0,1,0
1666687959338,177,HTTP Request,200,OK,Thread Group 1-6,text,true,,342172,284,10,10,https://en.wikipedia.org/wiki/Computer_network,50,0,0
1666687959338,50,HTTP Request-0,301,TLS Redirect,Thread Group 1-6,,true,,614,142,10,10,http://en.wikipedia.org/wiki/Computer_network,50,0,0
1666687959388,127,HTTP Request-1,200,OK,Thread Group 1-6,text,true,,341558,142,10,10,https://en.wikipedia.org/wiki/Computer_network,55,0,0
1666687958748,878,test2,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-10,,true,,17500,119,10,10,null,0,0,0
1666687958748,878,HTTP Request,200,OK,Thread Group 1-10,text,true,,17500,119,10,10,https://www.google.com/,863,0,0
